"StateFIPS","State","CountyFIPS","County","Year","Percent_Poverty"
6,"California","6111","Ventura","2019",8.2
6,"California","6113","Yolo","2019",16.9
6,"California","6115","Yuba","2019",15.2
6,"California","6001","Alameda","2020",8.6
6,"California","6003","Alpine","2020",14.3
6,"California","6005","Amador","2020",10.3
6,"California","6007","Butte","2020",17.3
6,"California","6009","Calaveras","2020",11.6
6,"California","6011","Colusa","2020",10.3
6,"California","6013","Contra Costa","2020",7.2
6,"California","6015","Del Norte","2020",18.5
6,"California","6017","El Dorado","2020",8.4
6,"California","6019","Fresno","2020",17.1
6,"California","6021","Glenn","2020",12.4
6,"California","6023","Humboldt","2020",15.8
6,"California","6025","Imperial","2020",18.1
6,"California","6027","Inyo","2020",10.9
6,"California","6029","Kern","2020",18.3
6,"California","6031","Kings","2020",14.5
6,"California","6033","Lake","2020",15.9
6,"California","6035","Lassen","2020",15.5
6,"California","6037","Los Angeles","2020",13.2
6,"California","6039","Madera","2020",14.1
6,"California","6041","Marin","2020",6
6,"California","6043","Mariposa","2020",13.3
6,"California","6045","Mendocino","2020",14.3
6,"California","6047","Merced","2020",16.3
6,"California","6049","Modoc","2020",17.9
6,"California","6051","Mono","2020",9
6,"California","6053","Monterey","2020",11.6
6,"California","6055","Napa","2020",7.9
6,"California","6057","Nevada","2020",9.2
6,"California","6059","Orange","2020",9
6,"California","6061","Placer","2020",6.5
6,"California","6063","Plumas","2020",13.5
6,"California","6065","Riverside","2020",11.2
6,"California","6067","Sacramento","2020",12.5
6,"California","6069","San Benito","2020",7.9
6,"California","6071","San Bernardino","2020",14.3
6,"California","6073","San Diego","2020",9.5
6,"California","6075","San Francisco","2020",10
6,"California","6077","San Joaquin","2020",13.9
6,"California","6079","San Luis Obispo","2020",10.6
6,"California","6081","San Mateo","2020",5.5
6,"California","6083","Santa Barbara","2020",10.5
6,"California","6085","Santa Clara","2020",6.6
6,"California","6087","Santa Cruz","2020",10.7
6,"California","6089","Shasta","2020",13.9
6,"California","6091","Sierra","2020",11.5
6,"California","6093","Siskiyou","2020",14.3
6,"California","6095","Solano","2020",9.3
6,"California","6097","Sonoma","2020",7.8
6,"California","6099","Stanislaus","2020",13
6,"California","6101","Sutter","2020",11.5
6,"California","6103","Tehama","2020",13.3
6,"California","6105","Trinity","2020",18
6,"California","6107","Tulare","2020",17.1
6,"California","6109","Tuolumne","2020",12.1
6,"California","6111","Ventura","2020",9.1
6,"California","6113","Yolo","2020",14.8
6,"California","6115","Yuba","2020",16.3
